Author	Contribution Entry	Column	Year	Issue
Cela, Camilo José	"175 Daňa Concha - Pouť - Ach, ty kozy/ (Povídky.) Ze španělštiny přeložil a stať „Neklidný patriarcha"" napsal Eduard Hodoušek. Ilustroval Karel Hruška. 10/3, str. 115-125. - Fotografie autora."	Spanish	1965	3
Celan, Paul	Fuga smrti - Záře - Večer slov - Svět. (Básně.) Viz zázn. 1193.			
176 Oko času. (Básně.) Vybral, z němčiny přeložil a úvod napsal Ludvík Kundera. 9/2, str. 59-72. - Fotografie autora. Oko času - Chvála dálky - Hlasy - Návrat domů - Do dálky - Dnes a zítra - Nahoře, bezhlučně - ln memoriam Paula Eluarda - Počítej mandle - V podobě kance - Do soutěsna.				
Celaya, Gabriel	Poesie je zbraň nabitá budoucnost(. (Báseň.) Viz zázn. 1428.			
Cendrars, Blaise	177 Na pěti rozích. (Básně.) Z francouzštiny přeložili Jarmila a Vlastimil Fialovi. Úvodnl stať napsal Vlastimil Fiala. 4/4, str. 186-197. - Karikatura autora od Amedea Modiglianiho z r. 1917. Reprodukce děl Henri Rousseaua, Roberta Delaunaye, Marco Chagalla a Rogera de la Fresnaye. Houpací slť - Věž - Noviny - Kontrasty - Portrét - Ateliér - Konstrukce - Na pěti rozích - Zátiší - Hlavo.	French	1959	4
Césaire, Aimé	178 Trpký čas. (Básně.) Z francouzštiny přeložila Bohumila Grogerová a Ladislav Novák. Závěrečnou poznámku o autorovi napsala Jarmila Beránková. 8/2, str. 85 až 101. - Fotografie autora. Kresba Wifreda Lama. Sešit o návratu do rodného kraje (fragment) - Okovy - Rozpočitadlo -Spirály - Nostalgické nokturno -Vnitřnosti básně - To jsem já hrůzo to jsem já - Mrtvola zběsilosti - Trpělivá znamení -Trpký čas - To je odvaha, která se mufům vymkla - Čas svobody - Afriko - Pozdrav v třetině světa - Opravdu ...	French	1963	2
Cesty	179 Cesty a podoby současné světové poezie. (Z diskusí překladatelů zahraniční poezie pro Světovou literaturu.) Do diskuse přispěli Ludvik Kundera, Vladimír Mikeš, 37 Jan Vladislav, Jiří Kolář, Josef Hiršal, Václav Daněk, Kamil Bednář, Lumír Čivrný, Jan Zábrana, Stanislav Mareš, shrnutí provedl Eduard Goldstucker. 7/5, str. 169-191.		1962	5
Cchao Ju	180 Ve starém Pekingu. Drama o třech jednáních. Z čínštiny přeložil Bořek Tkalců. 4/5, str. 66-88. - Úvodní poznámka.	Chinese	1959	5
Cibula, Vóclav	181 Jacques Lanzmann: Le rat d'Amérique. Recenze s ukázkami. 2/1, str. 235-246.		1957	
Cibula, Vóclav	182 Rozsudek bez obžaloby. (Rafael Sánchez Ferlosio: EI Jarama, Ediciones Destina, Barcelona). (Román.) Recenze s ukázkami. 4/5, str. 228-238. - Fotografie R. S. Ferlosia.		1959	5
Cibulka, Hanns	Zrnko rýže - Rozdělená Evropa. (Básně.) Viz zázn. 1193.			
Clair, René	183 Byl bych rád, kdyby kritika přiznala svou nedokonalost. .. (Citát.) Přeloženo z francouzštiny. 4/5, str. 171.	French	1959	5
Clair, René	184 Úvahy a názory. (Citáty.) Z francouzštiny přeložil Ljubomír Oliva. 5/2, str. 22-25, 90, 200, 230, 239, 256. - Fotografie autora.	French	1960	2
Clarke, Arthur C.	185 Lehký úpal. (Povídka.) Z angličtiny přeložil Miroslav Žilina. Ilustroval Jan Kubíček. 9/6, str. 1-6. - Vychází pod společným názvem Dvacet a jedna a se slovníčkem autorů.	English	1964	6
Clavé, Antoni	186 Reprodukce obrazů. 4/2, str. 101, 246.		1959	2
Clayton, John Bell	187 Bílý kruh. (Povídka.) Z angličtiny přeložil Jaroslav Schejbal. Ilustroval Radim Malát. 4/6, str. 49-54. - Poznámka.	English	1959	6
Cocteau, Jean	188 Jean Cocteau nad hrobem Honeggerovým o pohřbu na hřbitově Pere Lachaise 28. listopadu 1955. (Citát.) Z francouzštiny přeložil Fr. A. Kypta. 1/4, str. 87.	French	1956	4
Cocteau, Jean	189 Leona. (Báseň.) Z francouzštiny přeložil Jirí Konůpek. 2/4, str. 183-197. - 3 karikatury autora od Adolfa Hoffmeistera a 2 kresby autorovy a úvodní poznámka. 38	French	1957	4
Conchon, Georges	Les honneurs de la guerre. Recenze s ukázkami. Viz zázn. 244.			
Corso, Gregory	190 Armdda. (Básně .) Ze sbírky Happy Birthday of Death přeložil Jan Zábrana. Úvodem vlastní životopis autora. 6/6, str. 78-90. - Poznámka o autorovi. Fotografie. Rok jsem tam nebyl - Manželství - Sen baseballové hvězdy - Uccello - Armáda - Kavárna Sacré-Coeur.		1961	6
Corso, Gregory	191 Na rohu. Hříčka, kterou napsal a nakreslil Gregory Corso. Z angličtiny přeložil Jan Zábrana. 8/1, str. 247-256.	English	1963	1
Courtade, Pierre	192 Konec ltalie - Po dvaceti letech - Duch Gacomu. (Povídky.) Z francouzštiny přeložil Ivo Fleischmann. 3/2, str. 15-34. - Úvodní poznámka. Fotografie autora.	French	1958	2
Couto, Ribeiro	Elegie - Nokturno opuštěné pldže - Krčma v přístavu. (Básně.) Viz zázn. 1025.			
Crémer, Victoriano	Vlys s dělníky. (Báseň.) Viz zázn. 1428.			
Crevel, René	Vyčítdš si. .. - Most smrti. (Básně.) Viz zázn. 1103.			
Cuboi, Šigedži	193 Je př/liš mnoho z(vaj(clch. (Básně.) Z japonštiny přeložili Miroslav Novák a Jan Vladislav. Úvodní poznámku na• psal Miroslav Novák. Výbor doprovázej[ fotografie různých autorů. 5/6, str. 38-59. - Fotografie autora. Autoři snímků: Tomoiči Koniši, Jošitane, Acuči Noda, Hideo Šiga, Koku, Mihori Kagi, Acuči Takaši. Velikánská brašna - Motýl - Ráno - Žebrák I - Žebrák li - Balón - Sklize~ - Náhrobní kámen - Muž, který sestoupil s nebes - Ulice plná plášťů do deště .	Japanese	1960	6
Cummings, E. E.	Portrét Picassa. (Báseň.) Viz zázn. 77.			
Cvetajeva, Marina lvanovna	194 Verše. Z nevydané knihy Mladé verše, ze sbírky Psyché, Minulost Ruska, Ženská lyrika, z cyklu Básníci a Stůl. Verše z cyklů Mladé verše, Básníci a Stůl přebásnil Jan Zábrana, ostatní Jaroslav Teichman. 2/6, str. 49-52. - Fotografie autorky. 39		1957	6
ČangWej-pa	195 Čínské obrdzkové seridly. (Článek přetištěný z časopisu Chinese literature 1959.) Přeložila EP (= Eva Pilařová). 4/5, str. 241-243. 7 obr.		1959	5
Čapek, Abe	196 Edice Panther Books a anglicky psand pokrokovd literatura. (O edici vydávané nakladatelstvím Paul List Verlag v Lipsku.) 2/3, str. 254--256. - S ukázkou obálky.		1957	3
Čechov, Anton Pavlovič	"197 Moje rodina. (Povídka.) Úvodní poznámku „Neznámá povídka A. P. Čechova"" napsal Boris Čelyšev. Přeloženo z ruštiny. 5/1, str. 225-226. - Přetištěno z časopisu Don, č. 4. roč. 1959."	Russian	1960	1
Čermák, Josef	198 Člověk v troskdch. K dílu Wolfganga Borcherta (1921 až 1947). 3/4, str. 41-46. - Fotografie W. Borcherta. Následuje výbor z tvorby Wolfganga Borcherta pod názvem Lucerna, noc a hvězdy.		1958	4
Černošský	199 Černošský vlak. (Básně.) Přeložil J. Ch.(= Jindřich Chalupecký). Úvodní poznámku napsala J. H. (= Jiřina Hauková). Ilustrace Miroslav Hrdina. 3/6, str. 50-56.		1958	6
Černý	200 Černý předchůdce Gullivera? (Úryvek z neznámé povídky Leonarda do Vinciho, která je tematickým předchůdcem Swiftova Gullivera. Je převzat z článku Waltera Loweníelse v americkém listu Daily Worker.) Přeloženo z angličtiny. 1 /2, str. 251.	English		
Černý, Jindřich	201 Lužickosrbský literdrnf život. 3/6, str. 227-228.		1958	6
Černyševskij, Nikolaj Gavrilovič	202 Chcete-li, není se třeba divit krdse a gen i u ... (Citát.) Přeloženo z ruštiny. 1/3, str. 193.	Russian	1956	3
Česká	203 Česká moderní poesie v překladech sovětských básníků. (Ukázky z připravované antologie české poezie v nakladatelství Goslitizdat.) 2/2, str. 245-246. Jiří Wolker: Pokora-Pokornost' - Básníku odejdi! .. Poet, ujdi! přeloži1a Anna Achmatova; Konstantin Biebl: Večer u moře • Ve~er u morja přeložil Leonid Martynov; Vilém Závada: Štěrk• Ščebenka - V pohotovosti - Na izgotovke přeložil Boris Sluckij.		1957	2
Čihák, Václav	"204 Nový časopis „Světovou literaturu"" ... Dopis čtenáře. 1 /2, str. 254--255. 40 Čiladze, Tamaz 20S Poezie vůbec a poezie gruzínská. Přeložil Václav Černý. Ukázky z děl N. Pirosmanišviliho. 10/1, str. 2S4-2S6."		1965	1
Čihák, Václav	206 Projlždka v kočárku s poníkem. (Novela.) Z gruzínštiny přeložil a poznámku o autorovi napsal Václav Černý. Ilustroval Pavel Sukdolák. 8/3, str. 26-77. - Fotografie autora.	Georgian	1963	3
Čosié, Dobrica	207 Odhalen(. (Vstupní část první knihy románu Dělby s předmluvou autorovou.) Ze srbocharvátšiny přeložil a poznámku na závěr napsal Sergej Machonin. Ilustroval Jiří Svoboda. 8/4, str. 101-14S. - Fotografie autora.	Serbocroatian	1963	4
Čtenói'ům	208 ČtenáFDm. Úvodník redakce. 1/1, str. 1-2.		1956	
Čukovskij, Kornej Ivanovič	209 Ze vzpomínek na Afexandra Bioka. K 3S. výročí smrti A. Bioka. Z ruštiny přeložila B. Johnová, ukázky z Blokových básní J. Teichmann a L. Kubišta. 1/3, str. 89-96. - Bickův portrét nakreslil Cyril Bouda.	Russian	1956	3
Čukovskij, Nikolaj Kornejevič	210 Setkání s Mandelštamem. (Vzpomínka.) Z ruštiny přeložil -jz- (= Jan Zábrana). 10/3, str. 167-171. - 3 fotografie Osipa Emiljeviče Mandelštama.	Russian	1965	3
Dadelsen, Jean-Paul	211 Prostor noci. (Básně .) Z francouzštiny přeložil a úvodní článek o autorovi napsal Vladimír Mikeš. 9/3, str. 111-121. - Fotografie autora. Strýlek Jan - Konec dne - Ženy z roviny - Žalm z básně Jonáš -Velikonoce 1957.	French	1964	3
Dadié, Bernard B.	"212 Africké fegendy. (Prózy.) Z francouzštiny přeložil Petr Pujman. 4/3, str. 90-98. 2 obr. „ Leknín"" , královna vod - Legenda baulská - Špatný otec Pavouk - Koliho pes."	French	1959	3
Dagerman, Stig	213 Naše noční lázně. (Povídka.) Ze švédštiny přeložil Josef Vohryzek. 9/6, str. 21-26. - Vychází pod společným názvem Dvacet a jedna a se slovníčkem autorů .	Swedish	1964	6
Daix, Pierre	214 Raymond Queneau aneb cvičeni stylu. (Studie.) Z francouz- 41 štiny přeložila Bohumila Grogerová. 10/2, str. 60-62. - Fotografie R. Queneaua. Následují básně R. Queneaua.		1965	2
Daix, Pierre	215 Ůvahy o nových sešitech Alberta Camuse. Recenze s ukázkami z knihy Sešity li. Z francouzštiny přeložil Jiří Konůpek. 10/4, str. 229-235. - Fotografie Alberta Camuse.	French	1965	4
Dalton, Roque	216 Je řada na uraženém. (Básně.) Vybral, ze španělštiny přeložil a poznámku úvodem napsal Lumír Čivrný. 9/5, str. 73-81. Ostrov v pátém poschodí - Epitaf - Nahá - Abych osušil tvé slzy - Sliby - Tropy - Pianista na kroji venkovské silnice - Co mi řekl jeden mladý anarchista - Revoluce - Zavražd~ný na ulicí - Korel Marx - Vdovo po vulkánech - Přísloví - Umění básnické.	Spanish	1964	5
Dan, Jón	217 Mokré louky na Suchopýř[m ostrově. (Povídka.) Z islandštiny přeložila Helena Kadečková. 7/3, str. 114-117.	Icelandic	1962	3
Davičo, Oskar	218 Srbskd země-Titulky jedné noci. (Básně.) Ze srbocharvátštiny přeložil Ludvík Kundera za jazykové spolupráce Ireny Wenigové. 3/4, str. 26-40. - Úvodní poznámka s fotografií autora.	Serbocroatian	1958	4
David, Filip	219 Krabička. (Povídka.) Ze srbocharvátštiny přeložila Irena Wenigová. Ilustrovala Olga Karlíková. 10/6, str. 14-18. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů.	Serbocroatian	1965	6
Davis, Lionel	220 Ů/oha individualisty v dějindch. Recenze s ukázkami z románu Herberta Steinhouse Když vládnou modly. Z angličtiny přeložil Antonín Liman a Jan Válek. 5/4, str. 197-211. - Fotografie H. Steinhouse.	English	1960	4
Dazai, Osomu	221 Villonova žena. (Povídka.) Z japonštiny přeložil Miroslav Novák. 7/4, str. 144-155. 1 obr.	Japanese	1962	4
Decarava, Roy	viz Hughes, Langston			
Delibes, Miguel	222 0řešdky. (Povídka.) Ze španělštiny přeložil Eduard Hodoušek. Kresba Richarda Fremunda. 8/5, str. 200 až 208.	Spanish	1963	5
Déry, Tibor	223 Ldska. (Povídka.) Z maďarštiny přeložil Ladislav Hrad• 42 ský. Ilustroval Jan Švankmajer. 9/6, str. 87-93. - Vychází pod společným názvem Dvacet a jedna a se slovníčkem autorů.	Hungarian	1964	6
Desnica, Vladan	224 Spravedlnost. (Povídka.) Ze srbocharvátštiny přeložila Anna Urbanová. 2/1, str. 160-162. - Redakční poznámka. Kreslený portrét autora.	Serbocroatian	1957	
Desnos, Robert	225 Vidí, jak do ddli tdhnou stěhovaví koně. (Básně.) První dvě přeložil z francouzštiny Adolf Kroupa, ostatní Ludvik Kundera. 5/3, str. 74-79. - Úvodní poznámka s fotografii autora. Nikdy jiná nei ty - O květině lásky u stěhovuvých koních - V té chvili křldlovku - Plsničku o letnlm chodníku - Písničku o sklonco vlnu - Probuzeni - Věštbu.	French	1960	3
Deutsch, Babette	Tkvění. (Báseň.) Viz zázn. 768.			
Dhlomo, H. I. E.	Ůdolf tisfce vrchil. (Báseň.) Viz zázn. 1287.			
Dib, Mohammed	"226 Tifeji nežli ticho. (Básně.) Z francouzštiny přeložil Jindřich Pokorný. 7/5, str. 68-73. Spi úsvit - Bláznivá chvíle - Z „prvků"" - Poslední klid - Ne• pflmé světlo - Přístuv - Žulozpěv - Odpoledne v lesíku - Nočnl obdob( - luk sen - Nu zemi, v bludišti. :Žit dnes - Cizinec - Neodpou!tějte, spravedliví mrtví. .. - S/unce. (Básně.) Viz zázn. 259."	French	1962	5
Diderot, Denis	227 Mystifikace aneb historie s podobiznami. Dialog. Z francouzštiny přeložil Josef Pospišil. 1/3, str. 182-193. - Poznámka o autorovi. Podobizna D. Diderota od Pabla Picassa.	French	1956	3
Diktonius, Elmer	Jagudr - Madona - Objímdm tě. (Básně.) Viz zázn. 1241.			
Dinesen, lsak	228 Nesmrtelný př/běh. (Povídka.) Z dánštiny přeložil a úvodní stať napsal František Frohlich. 5/6, str. 60-87. - Fotografie autorky, vlastním jménem Karin Blixenové.	Danish	1960	6
Ditlevsen, Tove	229 Vaječný krém. (Povídka.) Z dánštiny přeložil František Frohlich. Dřevoryt Emilie Tomanové. 3/2, str. 137-139. - Předchází studie L. P. R0mhilda Pohled na moderní dánskou literaturu. 43	Danish	1958	2
Dnešní	230 Dnešnf francouzští spisovatelé a Tolstoj. (Příspěvky z ankety o významu tohoto velikého spisovatele, kterou uspořádal u příležitosti 50. výročí úmrtí francouzský list Les Lettres fran~aises. Do ankety přispěli: André Maurois, Pierre Gascar, Robert Merle, Nathalie Sarraute, Emile Henriot, Claude Mauriac, Michel Butor, JeanLouis Bory, Maurice Druon. Anketu uzavřel Pierre Daix.) Přeložila -ts- (= Tamara Sýkorová). 6/2, str. 226-235.		1961	2
Dobzynski, Charles	231 Poesie. Z francouzštiny přeložil Petr Kopta. 1 /1, str. 123-127. - Poznámka o autorovi. Kresba Henriho Matisse. Elegie o lásce v míru - Ty - Jsem v této chvíli sám ...	French		
Dobzynski, Charles	232 Tajemstvf Franfoise Villona. Recenze stejnojmenné knihy od Tristana Tzary. Přeloženo z francouzštiny. 5/5, str. 197-200. - Přetištěno z Les Lettres fran~aises.	French	1960	5
Doherty, Len	A Miner's Sons. Recenze s ukázkami. Viz zázn. 1232.			
Doisneau, Robert	Ukázka z df/a. Viz zázn. 296.			
Dons, Aage	233 O jednom francouzském malfři se vyprávf ... (4 citáty.) Z dánštiny přeložil František Frohlich. 3/2, str. 136.	Danish	1958	2
Dopis	"234 Dopis členil redakčnf rady časopisu „Novyj mir"" Borisu Pasternakovi. Záři 1956. (Zdůvodnění redakce, proč nelze román Doktor Živago umístit do žádného sovětského časopisu.) Přeloženo z ruštiny. 4/1, str. 207-219."	Russian	1959	1
Dorgeles, Roland	Tout est a vendre (Všechno je na prodej). Recenze s ukázkami. Viz zázn. 585.			
Dorůžka, Lubomír	"235 Fotografie a tvář jazzu. (Recenze knihy E. van der Elskena a Joachima Ernsta Berendta „Foto-jazz"", Mnichov Nymphenburger Verlagshandlung.) 5/5, str. 187-196. 26 obr. - Fotografie obálky recenzované knihy. Na fotografiích hudebníci : Percy Heath, Milt Jackson, John Lewis, Johnny Hodges, Dizzy Gillespie, Kenny Clarke, Minor Hall, Louis Armstrong, Coleman Hawkins, Oscar Peterson , Herb Ellis, Lionel Hampton, Duke Ellington."		1960	5
Dorůžka, Lubomír	236 Jazzové hvězdy vid[ svět. Na okraj knih Billie Holiday - William Duffy: Lady Sings the Blues (Doubleday 44 & Comp. New York), Louis Armstrong: Satchmo, My Life in New Orleans (Signet Books), )'annick Bruynoghe: Big Bill Blues, William Broonzy's Story (Cassell & Com., London). Recenze s ukázkami. 2/3, str. 221-234. - Fotografie: Big Bill v dvacátých letech, Armstrong ve dvacátých letech s matkou a sestrou, Billie Holidayová, Louis Armstrong dnes, Big Bill dnes. Fotografie obálek recenzovaných knih.		1957	3
- Škvorecký, Josef		237 William Faulkner: A Fable. Recenze s ukázkami. 2/1, str. 223-235. - 2 fotografie autora knihy.		
viz též Jungwirth, František Dostál, Vladimir 238 Literdrnf Moskva. Recenze sovětského almanachu Llteraturnaja Moskva, Moskva 1956. 1/3, str. 239-242.				
viz též Jungwirth, František Dostál, Vladimir 238 Literdrnf Moskva. Recenze sovětského almanachu Llteraturnaja Moskva, Moskva 1956. 1/3, str. 239-242.	239 Nový romdn Kazakěvičóv. Recenze románu Dům na náměstí, otištěného v almanachu Literární Moskva. 1/5, str. 220-222.		1956	5
Dosťjan, Ričl	240 V mlze. (Povídka.) Z ruštiny přeložila Vlasta Zavázalová. Ilustroval Jan Kubíček. 5/3, str. 43-52. - Předchází úvod Ludmily Duškové Na cestě k umění .	Russian	1960	3
Dovienko, Oleksandr	241 Z deníku Alexandra Dovženka. Z ukrajinštiny přeložila Ludmila Zilynská. 8/2, str. 233-241. - Úvodní poznámka. Fotografie autora, filmový záběr a reprodukce obálky knihy M. Bažana o Dovženkovi.	Ukrainian	1963	2
Drač, Ivan Fedorovyč	"242 Orchestr nadějí. (Básně.) Z ukrajinštiny přeložil Jaroslav Kabíček. Závěrečnou poznámku o autorovi a dalším ukrajinském básníku Mykolu Bažanovi napsal Orest Zilynskyj. 8/2, str. 51-64. - Fotografie autora. V pat<Ích mi chod I věk větrných mlýn O . . • - Sl u nečni etuda - Etuda o „aristokratické"" práci - Etuda o matkách umělkyních - Prokofjevovská sonáta - Balada o ostrově Entourage - Picassova slza - Etuda o architektuře - Balada o hoola-hoopu - Čern<Í etuda - Balada o vypraných kalhot<Ích."	Ukrainian	1963	2
Drápal, Miroslav	243 24 hodin ve Fort-Jaculu. Ke Goncourtově ceně 1964. (Georges Conchon za román L'état sauvage.) 10/2, str. 248-251. - Fotografie G. Conchona a členů Goncourtovy akademie. 244 Georges Conchon : Les honneurs de la guerre. (Román.) Recenze s ukázkami. 3/3, str. 177-187. 45		1958	3
Drouet, Minou	Strome, př{teli. (Báseň.) Viz zázn. 444.			
Drozda, Miroslav	245 Realismus v diskusi. (Stať s výňatky ze sovětské diskuse z r. 1957 a 1958.) 4/2, str. 194-210. 246 Za poznáním hrdiny. (Stať o současné sovětské próze.) 4/4, str. 207-218. Zastoupeni autoři: I. Erenburg, V. Kočetov, V. Těndrjakov, G. Nikolajevová, V. Někrasov, D. Granin, J. Kazakov, I. Lavrov, G. Baklanov, V. Panova, V. Solouchin, A. Kuzněcov, M. Žesťov, L. Sobolev, B. Polevoj, M. Šolochov, L. Leonov oj.		1959	2
Drummond de Andrade, Carlos	247 Tulák mezi dvěma jízdními řády. (Básně.) Z portugalštiny přeložil Vladimír Mikeš. Úvodní ·poznámku napsal Zdeněk Hampejs. Kresby Fernanda Légera. 6/4, str. 1-16 . ...,;. Fotografie autora. Čtverylko - Pozůstalý (Trocho poezie, 1925-30) - Píseň pro člověka z lidu Charlie Chaplina - Zprávy - Naše dobo (Růže lidu, 1943-45)- Soužiti -Milovat (Jasná hádanko, 1948-51) - Buchto (1960).	Portuguese	1961	4
Druon, Maurice	248 Blondýna - Černý princ. (Povídky.) Z francouzštiny přeložil a poznámku o autorovi pod čarou napsal Luděk Kárl. 9/1, str. 63-71.	French	1964	1
Dubská, Irena	249 New York očima chodce. (Reportáž.) 9/6, str. 217-234. 1 fot.		1964	6
Dubský, Ivan	250 O kafkovské literatuře. (Přehled.) Fotografie Jana Lukase z knihy Emanuela Frynty a Jana Lukase Franz Kafka und Prag (Artia, 1960). 6/1, str. 234-245. Zabývá se některými nejnovějšími publikacemi jako např. úvodnl statí H. S. Reisse Der Gang der Kafko Forschung v díle R. Hemmerlo Franz Kafka. Eine Bibliogrophie, disertací Morthy Gothové Fronx Kafka et les lettres fran,;aises, knihou Klause Wagenbacha Franz Kafka. Eine Biogrophie seiner Jugend 1883-1912 a některými statěmi.		1961	1
Duclos, Jacques	251 President republiky ve svém projevu ... (Citát z L'Humanité ze 4. 2. 1960.) Přeloženo z francouzštiny. 5/2, str. 149.	French	1960	2
Dufty, William• Holiday, Billie	Lady Sings the Blues. Recenze s ukázkami. Viz zázn. 236.			
Duhamel, Georges	Tovaryši apokalypsy. Recenze s ukázkami. Viz zázn. 585.			
Dumitriu, Petru	252 Salát. (Novela.) Z rumunštiny přeložila Zdenka Vyhlí- 46 dolová. Kresby Karla Vodáka. 2/5, str. 129-153. - Úvodní poznámka s fotografií autora.	Romanian	1957	5
Duncan, Robert	253 Bendtskd bdseň. (Básně.) Z angličtiny přeložil a úvodní poznámku o nové americké poezii a o autorovi napsal Stanislav Mareš. Ilustroval Jaroslav Šerých. 7/5, str. 108-135. - Fotografie autora. Popis Benátek - Svědectví - Imaginární příkazy - Recorso - Venuše z Lespugu - Coda.	English	1962	5
Duprey, Jean-Pierre	Popeleční růže. (Báseň.) Viz zázn. 1103.			
Duras, Marguerite	254 Md ldsko Hirošimo. (Scénář a dialogy Marguerite Durasová, režie Alain Resnais.) Z francouzštiny přeložil a úvodní stať o autorce napsal Ljubomfr Oliva. Scénář je doprovázen fotografiemi z filmu. 7/1, str. 114-148. 16 obr. - Fotografie autorky.	French	1962	1
Diirrenmatt, Friedrich	"255 Malér. Jeden z příběhů ještě možných. (Povídka.) Z němčiny přeložili Bedřich Becher a Rio Preisner. Stať „Skandalista Diirrenmatt"" napsal Ludvík Kundera. Ilustroval Jiří Svoboda. 5/5, str. 1-23. - Fotografie autora."	German	1960	5
Duškovó, Ludmila	256 Jurij Vasiljev. (Životopisná poznámka.) Ukázky z díla. 4/3, str. 32, 36, 89, 100, 101, 146, 194, 246. - Fotografie J. Vasil'jeva.		1959	3
Duškovó, Ludmila	257 Na cestě k umění. (Úvod a charakteristika autorů deseti sovětských povídek, které následují: Jurij Trifonov, Anatolij Pristavkin, Jurij Kuranov, Julian Semjonov, Jurij Kazakov, Riči Dosťanová, Natalja Tarasenková, Gleb Goryšin, Eduard Šim, Sergej Nikitin.) 5/3, str. 12-15.		1960	3
Duškovó, Ludmila	258 Rozpaky nad milostnou zdpletkou. Napsala -Id-. (Doslov k povídkám L. Pervomajského, V. Pomeranceva, V. Amlinského a A. Ivanova.) 6/5, str. 45-46.		1961	5
Dutourd, Jean	les Horreurs de l'amour (Hrůzy lásky). Recenze s ukázkami. Viz zázn. 260.			
Důvěrný	259 Důvěrný vzkaz. Současná alžírská poezie. Přeloženo z francouzštiny a arabštiny. Bwakely a báseň Dni přeložil Jindřich Pokorný, Té písni naslouchám ... , Jeden voják a jeho milá a Dělník ze severní Afriky přeložila Květa 47 Jeníková, ostatní básně přeložil Petr Kopta. 5/2, str. 141-149. - Předchází stať Yvette Le Floc'h Básně Alžíru, minarety bolesti. Bwakely - Mohammed Al-Id Hammú: Ó zahrado! - Šejk Smati: Dllvěrný vzkaz - Malek Haddad: Právo říci světu, Té písni na• slouchám ... , Nic není sešité ...• Jeden voják a jeho milá ... , Dělník ze severní Afriky, Chtěls trochu vznešenosti, Dovršené poselstv{ - Mohammed Dib: Žit dnes, Cizinec - Neodpouštějte, spravedliví mrtví. .. - Slunce ... - Mohammed Amel: Dni, Vlastencův zpěv .	French	1960	2
Dvořáková, Věra	260 Jean Dutourd, moderní klasik. Recenze románu Les Horreurs de l'amour s ukázkami. 9/5, str. 203-212. - Fotografie J. Dutourda.		1964	5
Dygat, Stanistaw	261 Sychravé večery. (Povídky.) Z polštiny přeložila Blanka Štětková. Ilustroval Jiří Svoboda. Úvodní poznámku napsal Antonín Měšťan. 4/4, str. 10-22. - Fotografie autora. Elysejská pole - Pět tisíc zlotých - Silnice do Garwolina - Ženské - Sychravé večery - Kokiuškúv kopec - Daleké cesty.	Polish	1959	4
Džamálzáde, Muhammad Alí	262 Jak jsem se stal politikem. (Povídka.) Z perštiny přeložila Věra Kubíčková. 7/1, str. 161-167.	Persian	1962	1
E~a de Queiróz, José Maria	"263 Co provedli listu Times. Z „Anglických dopisů"" zasílaných autorem brazilskému časopisu „Zpravodajský deník"" za pobytu v Anglii v letech 1874-1888. Z portugalštiny přeložil Zd. Hampejs. 1/1, str. 143-146. - Poznámka o autorovi."	Portuguese	1956	
Edfelt, Johannes	Archaický obraz. (Báseň.) Viz zázn. 790.			
Einšpigel, Oldřich - Straka, Josef 264 Ursula Ruttová: Ve věci člověka . (Román.) Recenze s ukázkami. 4/2, str. 224-229.				
Eisner, Pavel	265 Franz Kafka. (Studie a výklad Kafkova díla.) 2/3, str. 109-129. - Kafkův portrét od Františka Tichého, fotografie mladého Franze Kafky a jeho hrobu.		1957	3
Ejzenštejn, Sergej Michajlovič	266 O montáži. (Studie o montáži ve filmu.) Z ruštiny přeložil Jiří Taufer. 3/2, str. 185-199. - Poznámka a fotografie autora.	Russian	1958	2
Ejzenštejn, Sergej Michajlovič	267 Reprodukce záběrtl z filmu Křižník Potěmkin a Deset dntl, které otřásly světem. 2/5, str. 27, 58, 59, 128. 48		1957	5
Ejzenštejn, Sergej Michajlovič	268 Stránky ze života. Z ruštiny přeložila Karolina Dušková. Ilustrační doprovod tvoří fotografie z různých období života S. Ejzenštejna. 6/6, str. 196-222. Setkání - Události - Život ... - Vzpomínky z dětství - Jak vznikal drobný záběr - Knihy a cesty - Nune - Barva.	Russian	1961	6
Ekelof, Gunnar	269 Proměna moře. (Básně.) Ze švédštiny přeložili Josef Hiršal a Josef Vohryzek. Úvod napsal Josef Vohryzek. 9/5, str. 105-114. - Fotografie autora. Kdyf člověk došel tak daleko - K umění nemofného - Marš - Proměna moře - Hlasy z podzemí - Emigrant. Skutečnost. (Báseň.) Viz zázn. 790.	Swedish	1964	5
Ekelund, Vilhelm	Jak jasná byla tenkrát zeleň buki,. (Báseň.) Viz zázn. 790.			
Eklund, R. R.	Vrchol léta. (Báseň.) Viz. zón. 1241.			
Elbert, János	"270 Poznámka k ukázkám „obrázki, beze slov"" maďarských kres/fři, Kajána (v/. jm. Tibor Kalász) a Hihi (v/. jm. lstván Hegediis). 6/5, str. 92-93."		1961	5
Eliot, Thomas Stearns	271 Tradice a individuální talent - Baudelaire - Hudba poezie. (Eseje.) Přeložil Stanislav Mareš. 9/5, str. 161-169.		1964	5
